Front,Back,Tags
"What mnemonic helps remember the <b>order of sharps</b> added (F-C-G-D-A-E-B)?","""Father Charles Goes Down And Ends Battle""","type::mnemonic topic::keys"
"""Father Charles Goes Down And Ends Battle"" helps you remember what?","The order of sharps added: F-C-G-D-A-E-B","type::mnemonic topic::keys"
"What mnemonic helps remember the <b>order of flats</b> added (B-E-A-D-G-C-F)?","""Battle Ends And Down Goes Charles' Father"" (reverse of the sharps mnemonic)","type::mnemonic topic::keys"
"""Battle Ends And Down Goes Charles' Father"" helps you remember what?","The order of flats added: B-E-A-D-G-C-F","type::mnemonic topic::keys"
"What mnemonic helps remember the <b>major sharp keys</b> (G-D-A-E-B-F♯-C♯)?","""Good Dogs Always Eat Before Fighting Cats""","type::mnemonic topic::keys"
"""Good Dogs Always Eat Before Fighting Cats"" helps you remember what?","The major sharp keys in order: G (1♯), D (2♯), A (3♯), E (4♯), B (5♯), F♯ (6♯), C♯ (7♯)","type::mnemonic topic::keys"
"What mnemonic helps remember the <b>major flat keys</b> (F-B♭-E♭-A♭-D♭-G♭-C♭)?","""Father Brown Eats Apple Dumplings Greedily, Child""","type::mnemonic topic::keys"
"""Father Brown Eats Apple Dumplings Greedily, Child"" helps you remember what?","The major flat keys in order: F (1♭), B♭ (2♭), E♭ (3♭), A♭ (4♭), D♭ (5♭), G♭ (6♭), C♭ (7♭)","type::mnemonic topic::keys"
"What mnemonic helps remember the <b>3 enharmonic sharp minors</b> (G♯-D♯-A♯)?","""Get Down Already"" (because they're down in the circle!)","type::mnemonic topic::keys"
"""Get Down Already"" helps you remember what?","The 3 enharmonic sharp minor keys: G♯ minor (5♯), D♯ minor (6♯), A♯ minor (7♯)","type::mnemonic topic::keys"
"What mnemonic helps remember <b>treble clef lines</b> (E-G-B-D-F)?","""Every Good Boy Does Fine""","type::mnemonic topic::notation"
"""Every Good Boy Does Fine"" helps you remember what?","Treble clef lines from bottom to top: E-G-B-D-F","type::mnemonic topic::notation"
"What mnemonic helps remember <b>treble clef spaces</b> (F-A-C-E)?","""FACE"" (the word itself)","type::mnemonic topic::notation"
"""FACE"" helps you remember what?","Treble clef spaces from bottom to top: F-A-C-E","type::mnemonic topic::notation"
"What mnemonic helps remember <b>bass clef lines</b> (G-B-D-F-A)?","""Good Boys Do Fine Always""","type::mnemonic topic::notation"
"""Good Boys Do Fine Always"" helps you remember what?","Bass clef lines from bottom to top: G-B-D-F-A","type::mnemonic topic::notation"
"What mnemonic helps remember <b>bass clef spaces</b> (A-C-E-G)?","""All Cows Eat Grass""","type::mnemonic topic::notation"
"""All Cows Eat Grass"" helps you remember what?","Bass clef spaces from bottom to top: A-C-E-G","type::mnemonic topic::notation"
"How are the sharps and flats order mnemonics related?","They're palindromes! ""Father Charles Goes Down And Ends Battle"" reversed gives ""Battle Ends And Down Goes Charles' Father""","type::mnemonic topic::keys"
